,address_geocoded,displayLongitude,displayLatitude,address
188,"улица Ыкылас Дукенулы 31, 010000 Нұр-Сұлтан, Қазақстан",71.43387,51.18186,"ул. Дукенулы, д. 31"
189,"улица Ыкылас Дукенулы 2, 010000 Нұр-Сұлтан, Қазақстан",71.4152,51.17791,"ул. Дукенулы, д. 37/3, ВП-2"
190,"улица Мыржакыпа Дулатова 51, 010003 Нұр-Сұлтан, Қазақстан",71.38704,51.19316,"ул. Дулатова, д. 51"
191,"улица Е-103 7, 010000 Нұр-Сұлтан, Қазақстан",71.37795,51.08187,"ул. Е 10, д. 11"
192,"улица Е-103 7, 010000 Нұр-Сұлтан, Қазақстан",71.37795,51.08187,"ул. Е 10, д. 2"
193,"улица Е-103 7, 010000 Нұр-Сұлтан, Қазақстан",71.37795,51.08187,"ул. Е 10, д. 4"
194,"улица Е-16 4, 010000 Нұр-Сұлтан, Қазақстан",71.36275,51.12572,"ул. Е 16, д. 4"
195,"улица Е-249 20, 010000 Нұр-Сұлтан, Қазақстан",71.37533,51.15,"ул. Е-246, д. 10"
196,"улица Е-249 21, 010000 Нұр-Сұлтан, Қазақстан",71.37578,51.14999,"ул. Е 246, д. 9"
197,"улица Е-49 1, 010000 Нұр-Сұлтан, Қазақстан",71.39938,51.12993,"ул. Е-49, д. 1"
198,"улица Е-49 7, 010000 Нұр-Сұлтан, Қазақстан",71.39639,51.12121,"ул. Е 49, д. 7"
199,"улица Е-775 5, 010000 Нұр-Сұлтан, Қазақстан",71.38223,51.13393,"ул. Е-755, д. 11"
200,"улица Едил 26, 010009 Нұр-Сұлтан, Қазақстан",71.52625,51.1447,"ул. Едил, д. 26"
201,"улица Едил 26, 010009 Нұр-Сұлтан, Қазақстан",71.52625,51.1447,"ул. Едил, д. 26"
